text,label
Tafeh 3ale5er,negative
Meridh bsaraha,negative
Mala kalb !!!,negative
Rak Mast hhhhhhhhhh rak Last hhhhh,negative
ماهيش متربية  و مادام تشجع في لواط هذي موش تونسية و الإسلام متشرفوش وحدة عاهرة,negative
HHHH chay idha7ek etalfsa walet mahzla vraiment,negative
Maset barcha,negative
Rak masettttttttttt tfouh,negative
بصراحه معادش يعجبني برنامجوا ولا من امسط البرامج,negative
ملا فصالة,negative
a3ez 7aja ki hantalha walid ou 3arfha 9derha mela mridha,negative
راك توجع القلب ولله :'(,negative
ثعلب و ثعلوبة :),negative
Massa5,negative
راك ماصط و راك لصط و غناية حوماني طتاع عليك برشا,negative
الطحان اللحاس كلب التجمع,negative
تفوه عليك يا حيوان,negative
Maset,negative
Mala ri9 mte3 mhabla w hiya tsi7 .. yeesser vulgaire,negative
mamsitha hal mandhir hethi,negative
مسط برشا,negative
سذاجة,negative
9adech met5alfa chbiha welet haka hedhi,negative
Khayb,negative
ﻣﺎﺳﻂ..,negative
Ti maset :3,negative
الشيب والعيب,negative
maseeeeeeeeeeeet w damou rziiiiiiiiiiiiiiiiiiiiiine pfffff brabi raj3ou nawfel,negative
زبالة حشاكم  !!,negative
Masset,negative
والله الكلب  حاشاكم  افظل  وأشرف من هالوقح  الرهط المدعو  الجويني,negative
يا حمار آخر مرة قريت الفاتحة وقتاش,negative
Monafe9 w la7ass,negative
مغرور و ما يعجبنيش تفدليكو و الدنيا ادواق,negative
مسلسل دعارة وإنحلال أخلاقي,negative
Effffffff masit bliiiiid,negative
ماسط لاسط و قليل تربية,negative
تعجبني يا تحيفة,negative
والله عهر و هرج و مرج و ديوث و قلة تربيه و قلة حياء وانصياع و ميوع للثقافة و المجتمع و انحراف,negative
من أمسط ما ريت من أمير سلام مسيوو.,negative
khamej barcha,negative
قناة الكلام الزائد. موش قناة الحوار التونسي,negative
tfoouuuuhh 3lik w 3la amthelek mahelkou lebled ken chleyek eli kifek chib wel 3ib,negative
"مااااااااااااااااااااااسطه""",negative
"moustewe moun7at hiya wghneyetha pffffffffffffffffffffffffff""",negative
Mala mas5a 5amja hathi,negative
bkol bassata mast last,negative
ماسط وقليل تربية.. ومدافع عن النهضة وفترة الترويكة.. تفيييييييييييييييييييييه,negative
مسكينة تونس,negative
عيشة  نحسها تتفينس برشا  و ضربتوا    فيروحها برشا و تحسها تزوي برشا كي تبدى تحكي,negative
بففففففففف ما هذا الكائن الفضائي ???,negative
ممسط غنايتو,negative
مخيب رسك,negative
ماسطة,negative
Mamsatha,negative
_masset lasset,negative
جهلوت وثقفوت مكانه في السجن فعلا ليتعلم معاني الرجولة واحترام الرجال,negative
Pfff maja chey lmosalsell,negative
توا هده مسلسل في شهر رمضان شهر كريم,negative
E7tarem rouhek chwaya rana mosilmiiiiiiiin ya bhima,negative
3amlt l3ar  hhhh :p,negative
تافه الحق في الجابو متخلف وحسود,negative
ماسط,negative
Mastaaaaa,negative
شكيب كلب نهضاوي و كلب غير وفي ناقم ع الامنينين و نداء لكل أمني باش يرد بالو من ها الكلب المكلوب.,negative
mala sél3a zbéla,negative
Ma5yabha,negative
MASTA,negative
تافه وحتى المخرجين الي اتعامل معاهم يعرفوه هاك علاش ما يعطيوه كان دور قوااد والا عساس والا لحاس,negative
ساقط وما يحشمش الله يهلكو هو واللي جابو,negative
ماااااااااسط حتى بالقارص ميتهضمش,negative
ki bih ki blech,negative
أصل ماعندوش منطق و ما يعرفش يحكي..,negative
Moch metrobi,negative
Ti mak miboun,negative
"mamastek w matahfek walh zayed , ti mayet men al 4ira men hamza chaf al tfol motrobi tmada a3lih, athika haya al televsa ma9a3da twari ken fi ness zero , z3im yath7ek a3la ness.",negative
3amltoo el 3ar wlh,negative
تفوووووووووووووووووووووووووه على اشكال هذا النزق,negative
نحسها تافه وعيشه دورها,negative
madhroub fi rou7ou barcha,negative
masta elila,negative
Chbih kalb,negative
rak mmmmast ya fechel ya semi tardou rahouu fffffechl,negative
مخيب راسو يهدوو,negative
bal3out kbir w mounafek ma yedchadech,negative
بربي علاش تجيبو فيه هالبوكيمون خلونا توانسة صافيين,negative
Mamessto Hal bacharr,negative
Yeser remezzzz,negative
ياكلب ياكاراكوز تفوە عليك وعلي امثالك كان تجي راجل انتي و نوفل راكم عملتو لعار لتونس زايد رخيص ولكلب يقعد كان اكاك تفوەە,negative
أفففف يا جبالي,negative
hedhi kelba bhima leima 0.0,negative
Amset menou maritech,negative
ken mchit mot a7senlek mala 3zouza hhh,negative
حسيتها متكبرا ملخر !!!!!!,negative
Far5,negative
Marznou,negative
Mabldek w mabled dhyoufek..,negative
Pffff baktni,negative
Jabri,negative
Mar5sik makich ragel  tfih 3alik,negative
Oui ene t3jbni barcha,positive
تبارك الله عليه,positive
امرأة أنيقة و سلسة في خطابها و ذكية و متواضعة,positive
جعفر يحب بلادو ويعمل في الخير يعاون في الناس والحكومة لا علاقة تسرق في الشعب وتشري في الكوش للباجي,positive
Mahleha,positive
3imed d8ij bravo wlh rajel mouch kima ba3th essiyessiyin ella7assa,positive
Laylouchaaaaaaaa mahlek t-habel to9999tel to9tel <3,positive
Mra tounsia b2tam ma3na lklima,positive
Ma3alme,positive
te3jebni barcha,positive
والله بكتني برافووووو واصل,positive
محلاها,positive
والله احسن ما صار في قناة الحوار التونسي المنشط هاذا,positive
نور شيبة فنان يعجبني صوتو حلوا و مزيان :),positive
Ya ta7founa ben7oumti,positive
احسن ممثل في ادوار الكول,positive
الرجل المناسب في المكان المناسب,positive
hhhhhh bravo,positive
Bjr ya 3asouuula,positive
hmdoulah w rabi ihanihom w  i3inha w nchllah rabi i5alik li ba3thkom amiiin ya rabi,positive
عسل,positive
Bravo y'a si neji irajel rajel w il kakb kalb,positive
M3allem.,positive
انحبك,positive
A7sen comedien fi tounes (y),positive
Bravo,positive
m3allem,positive
Ta7founaa <3,positive
Bravo Karim très bien,positive
Bravo layla chebi 3tat rayha fi el vidéo bsaraha,positive
loutfi a m3alim,positive
صوتها و احساسها يهبلووو مشالله عليها ميسا الماجري قليل وين نلقاو احساس و صوت كيف صوتها نشالله نشوفوها نحمة كبيرة,positive
محلا زينها هي,positive
hbel,positive
bravo wlh yaser thamriiinnnn,positive
Ma7lekoum,positive
patron,positive
Cv ta3jbni Mais kelma chway fiha rabi iwafgek nchala,positive
tbarkallah alik walid w ala soutik w 3ala il 7al9 ili inti mnawir feha,positive
WA7DEK YA T7IFA M3ALEM,positive
Amin bravooooo,positive
Oui bravo😍😘😚,positive
Ys ma3lem kebrt fi 3ini!,positive
عسولة,positive
mahlehom,positive
Dima mnawra Emouna ❤❤,positive
تعجبني في أخلاقها و راكزة في كلامها من أحسن الممثلات في تونس :*,positive
ممثلة باهية,positive
كلام موزون و معقول,positive
حسين الديك منور تونس وصوتك احلى ما سمعت وراك حفلتها في كلام ناس نحبك بارش,positive
ممثلة قديرة و انسانة راقية و رائقة,positive
♥♥♥,positive
جعفور معادش منك برشا في ها البلاد,positive
برافو سامي,positive
Faneeeen ya fanen,positive
"bravoooooooooooooooo , :)",positive
Bravo walid,positive
hssin dik ma7lekkkkkkkkkkkkkkkkk,positive
A7la bou ritou fi7yeti rabi ifarj 3lih w yeshfilou bnto <3,positive
اتقو الله في هدا الشهر الكريم,positive
3salll,positive
ممثلة تهبل,positive
bravo walid baredetli 3l  9albi,positive
Ah fora m3lma bsar7a,positive
Rak motrb ou dima tzid t7ali 8nek,positive
جعفور واصل على نفس المنوال,positive
من أفضل البرامج.,positive
لطفي يا معذبهم ديما فدلاك :v,positive
لمين النهدي امبرطور الكوميديا واللون الاحمر ضواه ماحلاك يا لمين,positive
Machallah 3alike mon bébé ma7lake,positive
تبارك الله عليكم,positive
oui  bravo  kan rajel,positive
Mala wahra mala zen mala thakafa .machallah abharna bsara7a.tbarkallah nour Chiba bravo,positive
Nmouuut 3liha,positive
ماشاء الله,positive
فوزي بن كمرة يا معلم,positive
Bravo,positive
Rajel 👏,positive
انحبوها إناس,positive
"M3alim w rajil, bravoo",positive
Mahleha <3,positive
Mahleeeeeeeek,positive
oui ma7leha,positive
Tbarkallah 3laha,positive
Bravo karim👍👍👍,positive
Inti te3jebni m'en awel marra renek,positive
شخصيه قويه و مستوي عالي حبينا و الا كرهنا. كلام يقنع و طريقه تعبير جيده.  الله غالب المثقف ليس عليه لوم يقنعك حتي ولو هو علي خطاء.,positive
Bravo Walid tounsi ❤ je t'aime bcq❤,positive
مشاء الله عليك armasta طلة حلوا و غناك أحلى ربي يوفقك و نشاالله بالتوفيق ;) :D,positive
برفووووو خديجة,positive
تهابل,positive
bravo,positive
ملا شخصية صبري تحفون برشا,positive
فعلا انسان ممتاز و طقطوقه من طقاطق تونس الله يخليه و نستناو جديدو,positive
مبدعة و فنانة كبيرة...من أحسن الممثلات في تونس,positive
برافو وليد التونسي ياسر كلامك عجبني والله بردتلي على قلبي يعتيك الصحة,positive
محلاها الدخلة يا امين ... الضحكة هي الكل,positive
ذكريات جميلة مع اغاني فوزي بن قمرة ،ياحسرة فوزي يا معلم,positive
تعجبني في أخلاقها و راكزة في كلامها من أحسن الممثلات في تونس :*,positive
برافوووووو سامى الفهري,positive

