text,sentiment	
(L) ice grande half-sweet French vanilla soy milk from Starbucks means summaa`s coming !!!,positive	
 Don`t worry. You`ll be 38 soon,negative	
"Just woke up & can`t go back to sleep. Had a txt from the bff sayin if you`re up call me, sounds important but that was 4 hours ago",positive	
says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,positive	
negative,Et donc l'édition de 3000 tirs de mariage commence
 I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey,neutral	
positive,Heureux d'entendre que vous avez passé un bon moment! Merci pour les mises à jour pendant le spectacle!
حد يوصلو الصورة دي دة حال بعض المصريين مين اولا دول ولاشباب وشخصيات من أنحاء العالم يرتع في الخير المنتزع من قوت الفقراء #منتدي_شباب_العالم https://t.co/fgbgbmS2Dv,Negative
Today is my Mother`s birthday- Happy Birthday & I love you! She is an angel whom has helped me so much during this time of my life,positive	
سؤال رفيع للشباب حتى سن الأربعين للمتحمسين المدافعين المطبلين ل #منتدي_شباب_العالم المنتدى وفر لك شغل؟ بلاش دى انت أساسا لاقيت شغل؟ https://t.co/n3p8M1IZHT,Negative
_benson  Woohoo! Well Done! I started Macarena-ing too,positive	
I like taking my dogs with me in the car when I run errands. They are always excited to go anywhere. like this morning to Krogers.,positive	
" noboby`s behind. I think I lead with $14,8 so far",positive	
neutral,C'est une énergie.
Working technology! I love you WAZ!,positive	
positive,Petit-déjeuner familial ... jamais fatigué de manger des arepas ...
positive,A enfin son téléphone et travaille actuellement
#محمد_صلاح يدعو الجماهير إلى دعمه في استفتاء #هيئة_الإذاعة_البريطانية #eXtranews https://t.co/wejclbqRNx,Neutral
سيادة الرئيس السيسي تحياتي لحضرتك يا اعظم رئيس حكم مصر وكان امنية حياتي ان احضر منتدي شباب العالم,Positive
 you will be great! Have a wonderful first day,positive	
🔴 فخر مصر #محمد_صلاح يتصدر ترتيب هدافي الدوري الإنجليزي ⚽ https://t.co/WvVNi6PH5r,Positive
neutral,Les boissons peuvent être chaudes ou froides.
سي إن إن: ولي العهد السعودي يحكم قبضته على السعودية، بعد القبض على الأقل على ١٧ أمير وكبار المسئولين السابقين، ويسعي لضمان بقاء الأموال فيها https://t.co/9leZf1PEVe,Neutral
#freealaaعلاء عبدالفتاح من محبسه لـCNN: ثورة يناير هُزمت.. السلطة مشغولة بعزلي.. ونظل مُلهمين https://t.co/5y2D1FdtJz via,Negative
"morning, still trying to find a babysitter, there is a creche at the gym so might leave him there, but just know he won`t be happy",negative	
اللهم تصريحات وزيره خارجيتهمالحزين وبعض التغريدات منبعض المسؤولين فلم يظهر شيخ دين معروفيمتدح حصار قطرولم نرا حكومتهم استقبلت معارض,Negative
negative,Quelqu'un sait où est allé mon iPod?
negative,Bon chevalier hun! Dans l'attente de vos tweets à nouveau! La haine que je manque de l'amusement du décalage horaire
اخونج الربيع العربي تاجروا بالدين الاسلامي من اجل السلطه! https://t.co/5PiL3VTPBx,Negative
Mmmm Ham  Yummy! I have hat hair...Stupid Deli ._.,neutral	
negative,"Wow, bienvenue à la maison eh c'est bien merde, surtout en revenant juste en vacances !!! Des fucins!"
  de wereld need more ppl like you! ;),positive	
الإحباط كبير بعد ما ثورة يناير لم تحقق مطالبها بالحرية والعدالة الاجتماعية رغم كل ماسفك من دماء فى الشوارع وقتها والوضع رجع زى الاول وأسوأ,Negative
neutral,Le pourcentage est une fraction de 100.
تعرف على ترتيب مجموعة مصر في تصفيات كأس العالم https://t.co/gkcYIJDR8g https://t.co/YEI4gxcrUN,Neutral
مرتضى منصور يقدم أوراق ترشحه في انتخابات الزمالك #السعودية #اخبار https://t.co/zo5OhQcbV,Neutral
 You are extremely clever my dear.,positive	
كل متطفل ومتطفلة تجاوزوا الحد وانتقدوا حكومة السعودية والامارات والبحرين في موضوع مقاطعة قطررجعو بتغريدات نحن نحبكم بعد ما انجلدو على تويتر,Negative
BWAHAHAHAHA! Shut the **** up...  is TOTES following me right now! Who made the account? Made me giggle like a school girl!,neutral	
positive,La personne qui peut le rendre bon est vous. Sortez et faites quelque chose d'amusant!
 nowhere babe  ice come to do a few jobs here this morning *sigh*,neutral	
4th may officially announced as `bad luck day` ..,negative	
neutral,La déflation est la baisse des prix.
 im home alone in the house and imma scared  x,negative	
"Hi, i was just getting up now so i tought i could write something. Today i`m gonna go shopping! Soo fun, isn`****?",positive	
اذا بحثت عن الحقيقه سوف تجدها السعوديه دائماً مع الجميع ولكن ان تصبر سنين ولا تشوف من غيرك الا الكذب والخداع فلا بد من حزم لا فايده للسعوديه من مقاطعة قطر ابدا ولكن ما دام الشر يحي منها فلا نحتاجها لا تأخذ ردة الفعل وتترك الفعل,Negative
neutral,La force est la qualité d'être fort.
neutral,La langue permet le goût.
تصفيات كاس العالم : غانا 1:1 #مصر ، نهاية المباراة,Neutral
"Just finished her tennis match... Lost tho  6-3, 1-6, 4-6",neutral	
ماركوس بيرج مهاجم #العين ومنتخب #السويد ينتقد استفزازات لاعبي #إيطاليا خلال مباراة المنتخبين في ملحق تصفيات #كأس_العالم #روسيا 2018 #دوري_الخليج_العربي https://t.co/ozpFhbqBjM https://t.co/YhRkbrYsIU,Neutral
negative,Trop d'internet. Comment me plaint-il
negative,Hahahahhha !! Avez-vous votre alimentation en nourriture? Est-ce qu'il est parti?
Happy Mothers Day to all the mom`s around  Hope you have a wonderful day!,positive	
negative,du Coca!? 20% de participation minoritaire? vraiment? Pas la folie d'avril? Pouvez-vous le rendre? Tellement déprimant. Vous étiez une marque préférée. triste
 It`s Star Wars day?! Urgh I`m gonna have to get the videos out,negative	
العلاقه بين السعوديه وإسرائيل من ايام قضية تيران وصنافير .الاتصال من وراء الكواليس بين حكام السعوديه وإسرائيل,Negative
negative,"Swati !!! Omg, je t'ai tellement manqué que tu as entendu la nouvelle chanson de jls 8-) ahaa youre probs tout jetlagged en ce moment ..."
positive,Journée des enfants en bonne santé lors de l'atterissage dans le Ranch Otay. aller!
positive,"Va faire une journée à columbus ... zoo, centres commerciaux et éventuellement des bars"
اهداف مصر فى تصفيات كاس العالم اول مباراه الكونغو صلاح وعبد الله السعيد تانى مباراه غانا ضربه جزاء لتريزيجيه احرزها صلاح والتانى عبد الله السعيد خساره فى اوغندا بدون اهداف مننا رابع مباراه اوغندا هدف وحيد لصلاح باسيست عبد الله السعيد يتبع,Neutral
"  dudes, c`mon - that`s almost the ghey!",neutral	
negative,"Ok, demandez-vous pourquoi twitpix n'est pas une option pour ce nouveau téléphone que j'ai? Je ne peux pas gagner! Je vais laisser les photos à ma place, je suppose ..."
happy star wars dayyyy =D and hbd to uncle LEE,positive	
تجديد 45 يوم لماهينور المصري #الحرية_لماهينور_المصري #تيران_وصنافير_مصرية https://t.co/funWSzOxkY,Neutral
""""""""""" حسن_شحاتة عن ثورة #25_يناير: بالنسبالي """"""""""""""""نكسة"""""""""""""""" معاك حق كل المعرصين بيقولو كده""""""""""",Negative
negative,Je suis vraiment fatigué mais je ne peux pas m'endormir
negative,Oh mec ... était le top préféré de repasser à porter à une réunion. L'a brûlé
neutral,C'est un pays.
watching Jon & Kate plus 8..can`t believe they`re divorcing,negative	
  thanks for following!  pretty complicated id you have there lol,neutral	
Jumping im the shower after a long day of work  it shall feel ahmazing I CAN MATH!,positive	
positive,Aujourd'hui a été dur mais génial a choqué avec succès les gens avec mon look inspiré pocahontas =]
بس انا مبسوط ان محمد صلاح جاب جولين النهارده وفي صراع مع هاري كين ولوكاكو علي هداف الدوري .. يا رب دايما متألق ومفرحنا يا ابو مكه 😋,Positive
نفس الصورة شفناه بعد المحروقة ثورة يناير كانت لزينت الناس احدعز وجرانة وسليمان وصفوت الشريف وسرور ويخرابي دكان مليطة والاخ الحمد لله طلع الشعب هو الحرامي وبينصب وبيفتري علي الناس الشرفاء الاطهار@لكي الله يمصر@وحسبنا الله ونعم الوكيل,Negative
Just finnished my Double Cheeseburger. It was good  Ready to watch the Spanish F1,positive	
 Looks like they dialed it in a LOT...payed attention to all the small but important details in gameplay...still no blood tho,neutral	
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative	
مؤتمر بحجم منتدى شباب العالم يكفى ان يكون مره واحده كل عام ليكون دسم بموضوعاته القيمه ولكى يتم التحضير له جيدا وان يكتسب شهره عالميه ليحقق ما نريده منه ويكون استنفار كل اجهزه الدوله لانجاح هذا المنتدى مرهق ومكلف للدوله اذا تكرر عقده اكثر من مره فى العام الواحد لذلك مره واحده تكفى,Positive
Cough drops taste gross...blaaaqhhh,negative	
positive,Et délicieux est l'odeur qui accompagne les crayons!
negative,besoin de dormir. Mais ne peut pas
 I think it goes against everything i thought the olympic spirit of Team GB is/was,negative	
positive,"Mes parents ont grandi sans beaucoup d'argent, mais ils ont frotté les tomates sur leur pain et leur L'a plongé dans l'huile d'olive"
I`m wishing I was outside instead of trapped in my office.,positive	
لقد شعرت الاقطار العربية في وطننا العربي الكبير كيف انها تمرغت في وحل الربيع العربي الزائف واليوم تزحف فيها الدواعش حان آذان القيامة,Negative
But I have cause I missed a lot of classes,negative	
