label,text
negative,	حتى الايتونز خربتوه مو صاحين انتو؟؟ 😭
negative,	واحد تبع النظام السوري يقول أن المخابرات السورية وراء تحطم مركبة إسرائيلية على سطح القمر 😳 أول مرة أعرف أن القمر أق…
negative,	الى متى التعامل السئ للخادمات وعدم احترامهم وكأنهم حشرات والله هالمواقف تصير بيننا ونشوفها المربية جات من بيتها مع…
negative,	رايح جاي ي طحلبي 🐸 #الهلال_الاهلي
negative,	تتمغط ومعها سداع 😫
negative,	اذا ما كان ألطف كوبل مر عليكم 😭😭💛💛 حظ جانيت بسماء لايح 😔 وحظ آثي لايح واقوى من جانيت
negative,	اترك لكم التعليق 💔
negative,	والله ي عم جعان نوم 😴 😂 بس مش عارف وربناا 😂 😂
negative,	#ايش_علمتك_الايام لأنك لم تتخابث يوما لم تنجح علاقاتك كثيرا ولأنك أنقى مما ينبغي تقتل في أضعف ركن بقلبك ولأنك ت…
negative,	تفائلو!! يبنات مضحكين شكلهم كانو عايشين بهم و حزن و غم دولا جد عبيد انجازات و الموضوع وصل للمرض 😭
negative,	هيك كتير يا عالم شوي شوي علي طيب ، استنوني طيب 💔
negative,	#اخدود_الفيض٢ 😨⚠️ الفيض2 ! نحن خلصنا من الفيض واحد والهزايم ولا ويش اسمه .. 😨 كلمه صراحه اتمنى تقبلوها شوي بسع…
negative,	اقسم بالله غالبني اكتب و المغصة كاتلاني عديل كدا 😪
negative,	ياالله ياالله ياالله ، الفيديو هذا كفيل يخلي كل رئيس ظلم شعبه ويتمسك باالسلطة وباأطماعه ويضحى باأبناء شعبه ويبكي شي…
negative,	ويت ا منت.. كل شي كان حقيقي وأنا ع بالي شاشة خضراء؟ المكان كان حقيقي 😰 وهم يتنقلون؟ ءء بتس😭💕
negative,	صوت هيوك فلاغنيه ستينسنينمس 😭
negative,	عند محامي 🙈
negative,	ما احب المطر حقيقة وهذا انا محبوسة في البيت 😭
negative,	گم #ﻫﻲ ﺻﻌبة لحظﺎﺕ #ﺍﻹﺷتيﺎﻕ ﻟﻤﻦ😔 ﻻ ﻳﻤگن ﺭوﻳﺘﻬﻢ #ﺃﻭ ﺣﺘﻰ #ﻣﺤﺎﺩثﺘﻬﻢ 💔
positive,	يمه كيوت تعال بالاحضان دلوعتي 🙈
negative,	تأكد غياب اللاعب منصور الحربي عن لقاء النصر بسبب الاصابة 💔
negative,	والعبادات ليست ثقيلة، ولكن القلوب حين خربتها الذنوب .. أثقلتها 💔 فاستغفروا ..❤️
