text,label
action يا وليدي التشكيلة كاملة الله يرحم و الديك عم عبد الرزاق اليوسفي,positive
belle منال زينة الحلقة,positive
botox c'est une marque disporte c'est une sous marques ويزيو بربي من الدعا و التنبير ماحد معصوم من الغلط واحنا بلادنا داخلا في حيط وكان عملو حل راهو ميصيرش هذا فمة إلى قتلوها لبلاد ونفضوها وجوعو التوانسا وكلاولهم حقوقهم وتعدوو عليهم وما حاسبهم حد فمة مااخطر من هكة واغرب هذي غلطت لاربما ما دكلراتش خطيه ولباس وسيبو بربي عليكم الدنيا دواره يوم ليك ويوم عليك ربي يهدينا على بعضنا ياتونسا الحقد والبغض وشماته ولا ياسر في بلادنا,negative
botox هيا باكتيريا حيوانيه,negative
bravo bravo عل بهامة ياسر بصراحة شيء كبير عيطة و سعود على ستيكا سيلتيا يعني غاز و كرتوش و مداهمة و زيد بلاش مذكرة تفتيش,positive
bravo pour ton parcours إلي بعدو,positive
bravo أنس جابر فرحتنا و زهيتنا,positive
bravo إن شاء الله ديما متالقة,positive
bravo المراه تونسيه,positive
bravo باريت الناس الكل عندها نفس الضمير,positive
bravo بوغلاب شعب عامل غماضات على عقلو,positive
bravo بوغلاب وكانه يتكلم بلساننا,positive
bravo حسام وعصام,positive
bravo حلقة حلوة,positive
bravo عبير موسي الصفحة الرسمية لرئيسة الحزب الدستوري الحر,positive
bravo قرار في محله,positive
bravo لولاد تونس لحرار,positive
bravo هاو الصحيح,positive
bravo و الله تفش الغيض وتنحي العقدة يا ولد الغاليين أحبك لوجه الله,positive
bro أعملو حاجة هبلتونا حديث شتعرف تحكو فشل,negative
cet homme dont tout le facebook tunisien se moque est très probablement une énième victime d'accident de travail dans le secteur du bâtiment très sûrement non pris en charge car non déclaré et qui traîne des blessures non soignées et qui malgré tout se lève le matin pour aller bosser sur un chantier il essaie sûrement de faire attention à ne pas fracasser ce qui lui reste et à se ménager un peu la personne qui l'a filmé et qui l'a balancé comme ça sur facebook elle n'a rien de mieux à faire de ses journées l'ambiance est devenue délétère sur ce réseau social tout est sujet à dérision toutes les semaines on prend quelqu'un on fait pitié ok si بلعومي,negative
decision out of time قرار خارج السياق مع الأسف,negative
eskimo hhh في عصر على شورب,negative
fils à maman وما اكثرهم,negative
france air الجوية الفرنسية عاملة تمثيلية واحدة لكل شمال إفريقية,negative
frere جبري,negative
frère لأخ ما فهمتش كيف فهمتوها,negative
Good luck لو تعلقت همة المرء بما وراء العرش لناله أمثاله، يستحقون الاستضافة والتشجيع وليس التافهين والتافهات,positive
hh هاك الجريان وراء غازي القروي في البركنق كي الكلب مامشاش خسارة علأقل هه توه باش يخرج عبد اللطيف العلوي يضرب شويه لغة ويشرب مخ انصارو,negative
hor cujet is the best youtuber comédic in tunisia نقطة و أرجع لسطر,positive
i hope safi sa ثلاثة id will be president لصافي سعيد,positive
issam ben othmen يا الاهي هه,positive
j'adoorree أما حاجه بركا ما فهمتهاش كيفاه تقول كان الدواء في فراقك خلي نمرض بيك من بعد تقول و الله ما نسامحك,positive
je tadore toi الله ابارك راجل كبير وواعي ربي يحفضك ويرزقك من خيره و بعد عليك الحاكم اسيدي,positive
klay bbj ابوخري,positive
l'argent ne fait pas le bonheur الفايدة في الهناء,positive
love you so much كثير كيوت انتولاثنين ياريت كنت بعرفكم من زمان بس عشقت سديم لانه عرفني عليكم احلا اثنين بالدنيا مش طبيعين,positive
love أمين يعطيك الصحة,positive
Merci Bolloumi Bougalleb et toute l'équipe Chems FM vous êtes meilleurs  عيدكم مبروك سوف نفتقدكم,positive
mon frère اخي,positive
pablo escobar أكبر بارون في كولومبيا و أسس المافيا في العالم في تجارة المخدرات و السلاح,negative
plz tell me how can i help him plz اخوكم من باكستان,negative
résistance force vocale ديز و ثلاثة ana تسعة خوك respect مكشخ,positive
